formation_date,security_id,published_symbol,signal_exclusion_reason,additional_exclusion_reasons,complete_lookback_months
2018-06-29,NSE_5700B54677A9,GICRE,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,7.0
2018-06-29,NSE_594968069C9C,DIXON,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,8.0
2018-06-29,NSE_64FA5F3DB129,SBILIFE,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,7.0
2018-06-29,NSE_87FFF2928495,AUBANK,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2018-06-29,NSE_8D903D63E255,ABCAPITAL,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,8.0
2018-06-29,NSE_951F0DE091F9,GRASIM,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2018-06-29,NSE_9B0BB2C2D564,TIINDIA,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,6.0
2018-06-29,NSE_9E3BB2CB962F,TIFIN,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,8.0
2018-06-29,NSE_C07DB11DA201,SPTL,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,9.0
2018-06-29,NSE_C457B5E6B67B,SIS,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,9.0
2018-06-29,NSE_CA1A054ED475,ASTERDM,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,3.0
2018-06-29,NSE_DE5DE93EB4E5,IEX,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,7.0
2018-06-29,NSE_E1897D16F276,MASFIN,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,7.0
2018-06-29,NSE_E987DDA51421,FRETAIL,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2018-06-29,NSE_EB5B1EE4D766,JKIL,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2018-06-29,NSE_F4683ACDECE7,GODREJAGRO,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,7.0
2018-06-29,NSE_F96D3907BEE7,IIFL,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2018-07-31,NSE_087EBB35F638,DCAL,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,9.0
2018-07-31,NSE_2B12B6998928,RELCAPITAL,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2018-07-31,NSE_3F703015A8A4,ICICIGI,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,9.0
2018-07-31,NSE_42389EFA283C,RHFL,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,9.0
2018-07-31,NSE_519BAA4E7230,COCHINSHIP,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2018-07-31,NSE_5700B54677A9,GICRE,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,8.0
2018-07-31,NSE_594968069C9C,DIXON,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,9.0
2018-07-31,NSE_64FA5F3DB129,SBILIFE,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,8.0
2018-07-31,NSE_8D903D63E255,ABCAPITAL,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,9.0
2018-07-31,NSE_9B0BB2C2D564,TIINDIA,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,7.0
2018-07-31,NSE_9E3BB2CB962F,TIFIN,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,9.0
2018-07-31,NSE_C07DB11DA201,SPTL,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2018-07-31,NSE_C457B5E6B67B,SIS,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
2018-07-31,NSE_CA1A054ED475,ASTERDM,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,4.0
2018-07-31,NSE_DE5DE93EB4E5,IEX,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,8.0
2018-07-31,NSE_E1897D16F276,MASFIN,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,8.0
2018-07-31,NSE_E987DDA51421,FRETAIL,MONTHLY_RETURN_HISTORY_INCOMPLETE,MONTHLY_RETURN_HISTORY_INCOMPLETE,10.0
